id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
203,Vegan Buddha Bowl,"Banana, Whey protein, Almond milk, Peanut butter","low-carb, vegan, paleo",snack,Asian,"In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",,203
204,Beef Stir Fry,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","gluten-free, low-carb, high-protein",dinner,Mexican,"Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool.",Peanuts,204
205,Shrimp Pasta,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","keto-friendly, low-carb",dinner,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Gluten,205
206,Beef Stir Fry,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",gluten-free,lunch,Indian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth.",,206
207,Vegan Buddha Bowl,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","dairy-free, low-carb",breakfast,Italian,"Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes.",,207
208,Taco Salad,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegan, gluten-free, paleo",breakfast,Asian,"Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden.",Gluten,208
209,Vegan Buddha Bowl,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","low-carb, high-protein, vegan",breakfast,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden.",Dairy,209
210,Vegetarian Chili,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","vegan, low-carb, paleo",lunch,Mediterranean,"In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,210
211,Vegetarian Chili,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegan, low-carb",dinner,Mexican,"Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool.",,211
212,Protein Smoothie,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","high-protein, keto-friendly, vegetarian",snack,Mediterranean,"Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Gluten,212
213,Chicken Caesar Salad,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",keto-friendly,breakfast,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth.",Gluten,213
214,Gluten-Free Pancakes,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","keto-friendly, high-protein, paleo",lunch,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden.",Eggs,214
215,Taco Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil",paleo,lunch,American,"Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts,215
216,Gluten-Free Pancakes,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","vegan, vegetarian",snack,American,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Peanuts,216
217,Beef Stir Fry,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",gluten-free,dinner,Indian,"Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth.",Peanuts,217
218,Protein Smoothie,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","high-protein, vegan, gluten-free",lunch,Mexican,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth.",Eggs,218
219,Vegan Buddha Bowl,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","paleo, gluten-free",lunch,Mexican,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces.",Eggs,219
220,Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",dairy-free,snack,Mediterranean,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later.",Gluten,220
221,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","paleo, dairy-free",dinner,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,221
222,Beef Stir Fry,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegetarian, high-protein, low-carb",snack,Asian,"Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool.",Gluten,222
223,Chicken Caesar Salad,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",paleo,breakfast,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces.",Peanuts,223
224,Beef Stir Fry,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","gluten-free, vegetarian",dinner,American,"In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces.",,224
225,Shrimp Pasta,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","high-protein, low-carb, vegan",snack,Mediterranean,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden.",Dairy,225
226,Protein Smoothie,"Lentils, Carrots, Celery, Garlic, Vegetable broth","paleo, keto-friendly, vegan",breakfast,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes.",,226
227,Beef Stir Fry,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","low-carb, high-protein",snack,American,"Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,227
228,Lentil Soup,"Banana, Whey protein, Almond milk, Peanut butter","vegan, dairy-free",snack,Mediterranean,"Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden.",Dairy,228
229,Avocado Toast,"Lentils, Carrots, Celery, Garlic, Vegetable broth",vegetarian,lunch,Indian,"Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth.",Eggs,229
230,Vegetarian Chili,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","low-carb, dairy-free, paleo",dinner,Italian,"Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Peanuts,230
231,Lentil Soup,"Lentils, Carrots, Celery, Garlic, Vegetable broth",dairy-free,breakfast,Indian,"In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes.",Dairy,231
